Judul,Kata_Kunci,Tempat
Pengembangan Flipbook Cula Nandiya Jataka Dengan Aplikasi Book Creator Sebagai Media Penyampaian Dhamma Bagi Masyarakat Buddha Vihara Giri Loka Kulon Progo,"flipbook, book creator, Dhamma",Vihara Giri Loka Kulon Progo
Upaya Meningkatkan Hasil Belajar Dalam Materi Teman Yang Baik Melalui Penerapan Metode Inkuiri Terbimbing Pada Siswa Kelas V SD Negeri Genilangit 2 Kecamatan Poncol Kabupaten Magetan,"inkuiri terbimbing, hasil belajar, pembelajaran agama Buddha",SD Negeri Genilangit 2 Kecamatan Poncol Kabupaten Magetan
Pengembangan Modul Berbasis Blended Learning Pendidikan Agama Buddha SMP Kelas VII Semester Genap Di Kabupaten,"Agama Buddha, Blended Learning, Kelas VII, Modul",SMP Kelas VII
Efektivitas Media Pembelajaran Quizizz Pada Materi Sejarah Penulisan Tripitaka Di SMP Negeri 3 Kaloran (Penelitian Eksperimen di SMP Negeri 3 Kaloran),"Quizizz, Efektivitas, Media Pembelajaran, Pendidikan Agama Buddha dan Budi pekerti.",SMP Negeri 3 Kaloran (Penelitian
Makna Simbolik Tumpengan Hari Tri Suci Waisak Sebagai Wujud Internalisasi Umat Buddha Di Vihara Metta Manggala Desa Payak Kecamatan Cluwak Kabupaten Pati,"Simbolik, Tumpengan, Waisak, Internalisasi",Vihara Metta Manggala Desa Payak Kecamatan Cluwak Kabupaten Pati
Pentingnya Literasi Digital Terhadap Motivasi dan Minat Investasi (Literature Review Tentang Robot Trading Forex di Indonesia),"Literasi Digital, Motivasi, Trading Forex, Minat Investasi.",
Analisis Manajemen Kelas Pendidikan Keagamaan Buddha Di SMP Negeri 1 Kaloran Kabupaten Temanggung,"Manajemen Kelas, Pendidikan, Agama Buddha.",SMP Negeri 1 Kaloran Kabupaten Temanggung
Faktor-Faktor Yang Mempengaruhi Minat Generasi Muda Buddhis Untuk Menjadi Penyuluh Agama Buddha Di Kabupaten Wonogiri,"Minat, Generasi Muda Buddhis, Penyuluh Agama Buddha",Kabupaten Wonogiri
Pengembangan Aplikasi Mobile Learning Pembelajaran Pendidikan Agama Buddha dan Budi Pekerti Kelas IV SD,"Mobile Learning, Pendidikan Agama Buddha dan Budi Pekerti",
Pengaruh Minat dan Dukungan Orang Tua Terhadap Keputusan Peserta Didik Beragama Buddha SMA dan SMK Kabupaten Temanggung untuk Melanjutkan ke Pendidikan Tinggi Keagamaan Buddha,"Minat, Dukungan Orang Tua, dan Keputusan",SMA dan SMK Kabupaten Temanggung
Makna Simbolik Ritual Pengambilan Air Suci Waisak Umbul Jumprit dalam Pandangan Masyarakat Buddha di Temanggung,Makna. Air Suci.Umbul Jumprit. Waisak,
Peran Gaya Komunikasi Kepemimpinan Organisasi SEKBER PMVBI Kabupaten Jepara Terhadap Produktivitas Organisasi,"Produktivitas, Organisasi, Gaya Komunikasi, Pemimpin",
Pentingnya Menanamkan Pendidikan Karakter Dalam Meningkatkan Disiplin Siswa Agama Buddha di SDN Giyono Kecamatan Jumo Kabupaten Temanggung,"Pendidikan Karakter, Disiplin Siswa, Agama Buddha, Nilai",SDN Giyono Kecamatan Jumo Kabupaten Temanggung
Perilaku Komunikasi Dalang wayang Kulit Di acara Sedekah Bumi desa Damarwulan Kecamatan Keling Kabupaten Jepara,"perilaku komunikasi, Dalang, Wayang Kulit, komunikasi verbal",
"Makna Kritik Sosial Dalam Lirik Lagu ""Generasi Rapuh"" Zima Band (Analisis Wacana Kritis Teun A. Van Dijk)","Analisis Wacana, Generasi Rapuh, Dekadensi Moral.",
Implementasi Atthasila Mahasiswa Program Studi Kepenyuluhan Buddha Dan Relevansinya Terhadap Kecerdasan Spiritual (Studi Kasus Di Sekolah Tinggi Agama Buddha Negeri Raden Wijaya),"Aṭṭhasīla, Kecerdasan Spiritual, Mahasiswa Kepenyuluhan Buddha",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya
Dampak Game Online Free Fire Terhadap Pola Perilaku Dan Gaya Berbicara Pada Anak Usia 10 Sampai 12 Tahun Di Desa Damarwulan,"Game Online Free Fire, Pola Perilaku, Gaya Berbicara",Desa Damarwulan
Potensi-Potensi Wisata di Dusun Krecek Desa Getas Kabupaten Temanggung Jawa Tengah,"Potensi wisata, Dusun Krcek, media sosial",Dusun Krecek Desa Getas Kabupaten Temanggung
Analisis Pengaruh Motivasi dan Kompetensi Terhadap Kinerja Penyuluh Agama Buddha Di Kabupaten Temanggung,"Motivasi, Kompetensi, Kinerja, Penyuluh Agama Buddha",Kabupaten Temanggung
Analisis kompetensi guru dalam perencanaan pembelajaran di SDN Giling 03 Kecamatan Gunungwungkal Kabupaten Pati,"Kemampuan Guru, Rencana Pelaksanaan Pembelajaran.",SDN Giling 03 Kecamatan Gunungwungkal Kabupaten Pati
Faktor-Faktor  Rendahnya Minat Generasi Z Dalam Mengikuti Program Pelatihan Pabbajja di Desa Tlogowungu Kecamatan Kaloran Kabupaten Temanggung,"Faktor, Minat, Generasi Z, Pabbajja",Desa Tlogowungu Kecamatan Kaloran Kabupaten Temanggung
Dampak Media Sosial Tik Tok Terhadap Gaya Hidup Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri Angkatan 2019,"Media Sosial, Tik Tok, Gaya Hidup",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri
Pola Komunikasi Interpersonal Orang Tua dan anak Usia 5-10 Tahun dalam Memberikan Pola Asuh (Studi Kasus Pada Desa Bunton Jenggot RT 1 RW 2 Kabupaten Cilacap),"Pola Komunikasi, Komunikasi Interpersonal, Pola Asuh",
"Analisis Faktor-Faktor Penghambat Belajar Di Masa Transisi New Normal Di Era Akhir Pandemi Covid-19 Pendidikan Agama Buddha Kabupaten Blitar (Studi Kasus SMP Negeri 2 Ponggok, SMP Negeri 1 Sutojayan, SMP Negeri 2 Sutojayan)","Faktor Penghambat, Belajar, New Normal",
Peran Guru Kelas Dalam Pelaksanaan Bimbingan Konseling untuk Meningkatkan Motivasi Belajar Siswa (Studi Deskriptif Siswa Kelas V di SD Negeri Giyono Kecamatan Jumo Kabupaten Temanggung),"Peran Guru, Bimbingan Konseling, Motivasi Belajar",SD Negeri Giyono Kecamatan Jumo Kabupaten Temanggung
Peran Pendidikan Agama Buddha Untuk Mencegah Kenakalan Remaja di Kabupaten Ponorogo,"Pendidikan Agama Buddha, Kenakalan Remaja",Kabupaten Ponorogo
"Peran Orang Tua Dalam Membentuk Perilaku Keagamaan Remaja Pada Masyarakat Buddhis Di Desa Sodong Desa Gelangkulon, Kecamatan Sampung Kabupaten Ponorogo","Peran orang tua, Perilaku keagamaan, Remaja Buddhis","Desa Sodong Desa Gelangkulon, Kecamatan Sampung Kabupaten Ponorogo"
Upaya Penyuluh Agama Buddha dalam meningkatkan religiusitas remaja buddhis di vihara dhamasagara,,vihara dhamasagara
Pengaruh Layanan Pariwisata Terhadap Kepuasan Wisatawan Pada Objek Wisata Kebun Refugia Di Kabupaten Magetan,"Layanan, Kepuasan, Kebun Refugia",Kabupaten Magetan
Pengaruh Sarana dan Prasarana Terhadap Proses Pembelajaran Peserta Didik Pendidikan Agama Buddha di SMP N 1 Kaloran,"Sarana, Prasarana, Proses Pembelajaran",SMP N 1 Kaloran
Strategi Pengembangan Industri Pariwisata Air Terjun widuri Sebagai Daerah Tujuan Wisata di kabupaten Grobogan Jawa Tengah,"Strategi, Pengembangan, Objek Wisata Air Terjun Widuri",
Pemanfaatan Media Sosial Sebagai Media Pemasaran Online Dikalangan Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri,"Media Sosial, Pemasaran Online, Media",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri
Pengembangan Objek Wisata Alam Bledug Kuwu Sebagai Daya Tarik Wisata di Kabupaten Grobogan,"Pengembangan Bledug Kuwu, Destinasi, Tambak Garam",Kabupaten Grobogan
Pengembangan Media Pembelajaran Berbasis Google Sites Pada Pendidikan Agama Buddha Kelas VIII Di SMP Negeri 1 Cluwak,"Pengembangan, Media, Pembelajaran, Google Sites",SMP Negeri 1 Cluwak
Implementasi Pendidikan Karakter Tari Pani Goyong Sari Pada Siswa Beragama Buddha Di SMP Bina Widya Surakarta,"Implementasi, Pendidikan Karakter, Tari Pani Goyong Sari",SMP Bina Widya Surakarta
Pola Komunikasi Umat Buddha dan Komunitas Sangha (Studi Kasus di Desa Kaligentong Kecamatan Gladagsari Kabupaten Boyolali Jawa Tengah),"Pola Komunikasi, Umat Buddha, Komunitas Sangha",Desa Kaligentong Kecamatan Gladagsari Kabupaten Boyolali
Hubungan Rasa Percaya Diri dan Prestasi Siswa Masa Transisi New Normal Pembelajaran Agama Buddha Di SMP N 2 Kaloran Kabupaten Temanggung,"percaya diri, hasil belajar, agama buddha",SMP N 2 Kaloran Kabupaten Temanggung
Implementasi Nilai-Nilai Moderasi Beragama di Desa Jrahi Kecamatan Gunung Wungkal Kabupaten Pati,"Moderasi beragama, Toleransi, Penyuluh agama",Desa Jrahi Kecamatan Gunung Wungkal Kabupaten Pati
Makna dan Nilai Ritual Satu Suro Bagi Kehidupan Umat Buddha di Dusun Delen Desa Tleter,"Meaning, Value, Ritual suro Delen",Dusun Delen Desa Tleter
Persepsi Mahasiswa terhadap iklan rokok dalam bentuk poster disekitar kampus sekolah tinggi agama buddha negeri raden wijaya,"persepsi, iklan rokok, poster",sekolah tinggi agama buddha negeri raden wijaya
Optimalisasi Nilai - Nilai Pancasila Buddhis Dalam Mengatasi Perilaku Menyimpang Pada Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,"Nilai-Nilai, Pancasila Buddhis, Perilaku Menyimpang",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya
Pengaruh Motivasi Belajar Terhadap Keaktifan Dalam Proses Perkuliahan Mahasiswa Jurusan Dharmacarya Di STABN Raden Wijaya,"Motivasi belajar, Keaktifan, Proses belajar",STABN Raden Wijaya
The Implementation Of Susi Religious Diversity and Democracy at Temple University,"Student exchange, SUSI, Keberagaman agama, demokrasi, dialog antaragama",
Makna simbol komunikasi dalam tradisi perayaan kirab malam satu suro keraton kasunanan surakarta,"Makna Simolik, Tradisi, Kirab, 1 Suro",
Nilai-Nilai Buddhisme dalam Tradisi Sedekah Bumi di Desa Ngawen Kecamatan Cluwak Kabupaten Pati Jawa Tengah,"Tradisi, Sedekah bumi, Nilai-nilai Bhuddisme",Desa Ngawen Kecamatan Cluwak Kabupaten Pati
Ritual Buddha Jawi Wisnu Dalam Perspektif Umat Buddha Theravada Di Kabupaten Banyuwangi,"Ritual, Buddha Jawa Wisnu, Buddha Theravada",Kabupaten Banyuwangi
Peran Ketua Vihara Dalam Menanamkan Nilai-Nilai Moderasi Beragama Di Desa Ngablak Kecamatan Cluwak Kabupaten Pati,"Moderasi Beragama, Toleransi, Tokoh Agama.",Desa Ngablak Kecamatan Cluwak Kabupaten Pati
Faktor-Faktor Pembentuk Karakter Siswa Beragama Buddha Di SMA Negeri 1 Donorojo,"Faktor, Karakter, Siswa beragama Buddha",SMA Negeri 1 Donorojo
Deteksi Dini Faktor-Faktor Yang Mempengaruhi Bullying Pada Siswa Sekolah Dasar,"Deteksi dini, faktor yang mempengaruhi bullying, Siswa kelas atas SD",
Strategi Gatekeeping dalam Menjaga Akurasi Berita Daring Pada Website Pemerintah Kabupaten Wonogiri,"gatekeeping, berita online, gatekeeper",
Analisis Faktor-Faktor yang Mempengaruhi Tingkat Kunjungan Wisata Di candi Gedong Songo Kabupaten Semarang,"daya tarik, sarana prasarana, pendapatan, harga, promosi.",
Etika Komunikasi Antara Mahasiswa Dan Dosen Di Media Sosial Whatsapp (Analisis Kesantunan Berbahasa Pesan Teks Mahasiswa Kepada Dosen Di Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri Jawa Tengah),"Etika Komunikasi, Kesantunan Berbahasa, Whatsapp",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri
Kemampuan Adaptasi dan Komunikasi Mahasiswa Perantau Dalam Menghadapi Perbedaan Budaya (Studi Pada Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri Jawa Tengah Tahun Akademik 2023/2024),"Kemampuan, Adaptasi budaya, Komunikasi lintas budaya",
Analisis Kemampuan Guru Dalam Implementasi Kurikulum Merdeka Belajar Di SD Negeri Sampetan Pada Mata Pelajaran Matematika,"Kurikulum Merdeka, Kemampuan Guru, Matematika.",SD Negeri Sampetan
Komunikasi Antarbudaya Etnik Jawa dan Etnik Sasak di Kalangan Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,"komunikasi antarbudaya, etnik Jawa, etnik Sasak",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya
Analisis Sejarah dan Ritual Puja Bakti Aliran Tantrayana Zhen Fo Zhong Kasogatan Di Kecamatan Seputih Raman Kabupaten Lampung Tengah,"Sejarah, Sadhana, Tantrayana Zhen Fo Zhong Kasogatan.",Kecamatan Seputih Raman Kabupaten Lampung Tengah
Peran Manggalia Dalam Pelestarian Tradisi Dan Budaya Di Kecamatan Kaloran Kabupaten Temanggung,"Manggalia, Tradisi, Budaya",Kecamatan Kaloran Kabupaten Temanggung
Pengembangan Media Pembelajaran Berbasis Komik Digital Guna Meningkatkan Kesadaran Dampak Bullying Terhadap Self Esteem Siswa Tingkat Sekolah Dasar,"bullying, digital, komik, media, pembelajaran, sekolah dasar, self esteem",
Dampak Penggunaan Media sosial Terhadap Komunikasi Interpersonal Pada Mahasiswa (Studi Kasus Pada Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri Jawa Tengah),"media sosial, Komunikasi Interpersonal, Antisipasi Dampak",
Efektivitas Penerapan Kurikulum Merdeka untuk Menumbuhkan Kreativitas Siswa Agama Buddha Di Kecamatan Kaloran Temanggung,"Kurikulum Merdeka, Kreativitas Siswa, Pendidikan Agama Buddha",Kecamatan Kaloran Temanggung
Tradisi Suran Sebagai Daya Tarik Wisata Sendang Sidhukun Desa Traji Kecamatan Parakan Kabupaten Temanggung,"tradisi suran, daya tarik wisata, wisata sendang Sidhukun",
Pengaruh Penggunaan Peer Teaching Method Terhadap Hasil Belajar Pada Mata Pelajaran IPA Siswa Kelas V SDN Tubokarto,"Metode Peer Teaching, Metode Ceramah, Hasil Belajar",SDN Tubokarto
Strategi Pengembangan Pasar Papringan Sebagai Daya Tarik Wisata Pedesaan Di Kabupaten Temanggung Jawa Tengah,"Pasar Papringan, Potensi Wisata, Strategi Pengembangan",Kabupaten Temanggung
Pengembangan Media Pembelajaran Audio Visual Berbasis canva untuk menumbuhkan kreativitas pada anak usia dini di kelompok TK SADDHAPALA JAYA,"Aplikasi Canva, Kreativitas, Media",
Upaya Meningkatkan Kemampuan Fisik Motorik Siswa Dengan Menggunakan Media Pembelajaran Berbasis Tiktok (Penelitian Tindakan Kelas di Nava Dhammasekha Saddapala Jaya Krecek),"Media TikTok, Pengembangan Fisik Motorik, Anak Usia Dini.",
Pengaruh Promosi Di Media Sosial Terhadap Keputusan Siswa SMA Negeri 1,"Promosi, Media Sosial, Keputusan Siswa",SMA Negeri 1
Komunikasi Long Distance Relationship Mahasiswa Terhadap Orang Tua Pada Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri Jawa Tengah,"komunikasi, long distance relationship, mahasiswa, orang tua",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri
Pengaruh Media Pembelajaran Educandy Terhadap Motivasi Belajar Siswa Kelas IV Pada Mata pelajaran Pendidikan Pancasila Di SD Negeri 1 Wonoboyo,"Media, Pembelajaran, Educandy, Motivasi, Belajar, Siswa, Pendidikan, Pancasila",SD Negeri 1 Wonoboyo
Pengaruh Minat Berkunjung Wisatawan dan Aksesibilitas Terhadap Pengembangan Objek Wisata Wulenpari Gudung Kidul Yogyakarta,"Minat, Aksesibilitas, Pengembangan",
Pengembangan Media Pembelajaran Berbasis Aplikasi EMIEDU (Emi Education) Pada Materi Matematika FPB (Faktor Persekutuan Terbesar) Dan KPK (Kelipatan Persekutuan Terkecil),"Matematika, Media Pembelajaran, EmiEDU, Efektivitas",
Pola Komunikasi Orang Tua Dalam Membina Kesehatan Mental Anak Di Desa Tunahan Kecamatan Keling Kabupaten Jepara,"Pola Komunikasi, Orang Tua, Kesehatan Mental",Desa Tunahan Kecamatan Keling Kabupaten Jepara
Dampak Pengembangan Wisata Candi Gedong Songo Terhadap Perekonomian Masyarakat Desa candi Kecamatan Bandungan Kabupaten Semarang,"Candi Gendong Songo, Pengembangan, Ekonomi",
Pola Komunikasi Interpersonal Tokoh Agama dan Masyarakat Dalam Merawat Moderasi Beragama (Studi Kasus di Dusun Sodong Desa Gelangkulon Kecamatan Sampung Kabupaten Ponorogo Jawa Timur),"Komunikasi Interpersonal, Tokoh Agama, Moderasi Beragama",Dusun Sodong Desa Gelangkulon Kecamatan Sampung Kabupaten Ponorogo
Efektivitas Penerapan Metode Pembelajaran Teams Games Tournament (TGT) Menggunakan Media Flash Card Pada Mata Pelajaran Matematika Siswa Kelas IV SD Negeri Sumogawe 03,"Metode, Teams Games Tournament, Matematika",SD Negeri Sumogawe 03
Analisis Keterampilan Guru Agama Buddha Dalam Melakukan Evaluasi Pembelajaran di Sekolah Dasar (SD) Negeri 3 Sokaraja,"Keterampilan Guru, Evaluasi Pembelajaran, Pembelajaraan Agama Buddha",
"Pengaruh Komunikasi Pemasaran Model AIDA (Attention, Interest, Desire dan Action) Pada Promosi Instagram @ginastel_official Terhadap Keputusan Pembelian","Komunikasi Pemasaran, AIDA, Keputusan Pembelian",
Pengaruh Penggunaan Aplikasi Shopee dan Promosi Terhadap Keputusan Belanja Online di Kalangan Siswi SMK Negeri 1 Wonogiri,"Kemudahan, Promosi, Keputusan Belanja Online",SMK Negeri 1 Wonogiri
Potensi Pengembangan Desa Mareje Timur Sebagai Desa Wisata Di Kabupaten Lombok Barat,"potensi, pengembangan, alam, budaya, dan desa wisata",Kabupaten Lombok Barat
Pengembangan Informasi Pariwisata Di Dinas Pariwisata Wonogiri Melalui Website,"Informasi, Pariwisat q, websíte",
Pengaruh Sarana dan Prasarana Wisata Terhadap Kepuasan Wisatawan Pada Objek Wisata Wulenpari Kabupaten Gunung Kidul,"Sarana, Prasarana Wisata, Kepuasan Wisatawan, Wulenpari",
Makna Prosesi Ritual Satu Suro Dalam Agama Buddha Di Pertapan Watu Payung Temanggung,"Ritual, Satu Suro, Pertapan Watu Payung",
Akulturasi Budaya Buddhis Theravada dan Kejawen Dalam Tradisi Suronan Di Dusun Krecek Desa Getas Kecamatan Kaloran Kabupaten Temanggung,"Akulturasi, budaya, Tradisi Suronan",Dusun Krecek Desa Getas Kecamatan Kaloran Kabupaten Temanggung
Strategi Penyuluh Agama Buddha Dalam Pembentukan Karakter Remaja Buddhis Di Kecamatan Kaloran,"Strategi, Pembentukan Karakter, Penyuluh Agama Buddha, Remaja Buddhis",Kecamatan Kaloran
"Pendekatan Psikoreligi Dalam Menjaga Kesehatan Mental Umat Buddha (Studi Kasus Di Dusun Lamuk, Desa Kalimanggis, Kecamatan Kaloran, Kabupaten Temanggung)","Psikoreligi, Kesehatan Mental, Umat Buddha","Dusun Lamuk, Desa Kalimanggis, Kecamatan Kaloran, Kabupaten Temanggung"
Penerapan Relation Dialectics Theory Hubungan Antar Pribadi Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya (Analisis Komunikasi Interpersonal),"Relational Dialectics Theory, Komunikasi Interpersonal, Mahasiswa",
Pengaruh Media Sosial Tik Tok Sebagai Media Promosi Dan Budget terhadap Pembelian Fashion Pada Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,"Media Sosial Tik Tok, Budget, Pembelian",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya
Pengaruh Meditasi Anapanasati Terhadap Perhatian Siswa kelas IX Pada Pembelajaran Agama Buddha Di SMP Negeri 2 Keling,"Perhatian, Pembelajaran, Meditasi Anapanasati, Agama Buddha",SMP Negeri 2 Keling
Nilai-Nilai Moderasi Beragama dalam Tradisi Sedekah Bumi Kecamatan Cluwak Kabupaten Pati Jawa Tengah,"Tradisi Sedekah Bumi Desa Karangsari, Moderasi Beragama, Nilai-Nilai Buddhisme",
Analisis Penggunaan Media Sosial Tiktok untuk Menumbuhkan Semangat Siswa Sekolah Minggu Buddha Vihara Dharma Sambara Desa Gandon Kecamatan Kaloran Temanggung,"Analisis, Media Sosial Tiktok, Semangat Siswa Sekolah Minggu",Vihara Dharma Sambara Desa Gandon Kecamatan Kaloran Temanggung
Strategi Promosi Wisata Lokal Melalui Media Sosial Di Sagara View Karangbolong Kabupaten Kebumen,"strategi promosi, media sosial, wisata lokal",
Pengaruh Komunikasi Interpersonal Terhadap Emotional Quotient Mahasiswa Generasi Z Di Era Digital,"Komunikasi Interpersonal, Emotional Quotient, Mahasiswa",
Implementasi Metode Pembelajaran Inquiry Pada Materi Brahma Vihara Dalam Meningkatkan Empati Siswa di SMP Negeri 1 Keling,"Empati, Inquiry, Brahma Vihara",SMP Negeri 1 Keling
Keluarga hitta sukhaya dan implementasinya dalam pembentukan etika umat gharavasa di kabupaten jepara,"Etika Buddhis, Keluarga Hitta Sukhaya, Harmonis",
Partisipasi Masyarakat Dalam Pengembangan Wisata Embung Kledung Di Kecamatan Kledung Kabupaten Temanggung,"Partisipasi, Masyarakat, Pengembangan Wisata.",Kecamatan Kledung Kabupaten Temanggung
Efektivitas Penyuluhan Dengan Media Power Point (PPT) Terhadap Peningkatan Pengetahuan Umat Buddha Di Vihara Cipta Sarana Buddhi Wonogiri,"Penyuluhan, Media Power Point (PPT), Perjudian",Vihara Cipta Sarana Buddhi Wonogiri
Strategi Pengembangan Waduk Gajah Mungkur Sebagai Destinasi Wisata di Kabupaten Wonogiri,"Strategi, Pengembangan, Destinasi Wisata, Waduk Gajah Mungkur",Kabupaten Wonogiri
Pemanfaatan Media Pembelajaran Berbasis Aplikasi Canva Pada Materi Puja Bakti Agama Buddha Kelas V di Sekolah Dasar (SD) Negeri 010 Samarinda Kota,"Media Pembelajaran, Canva, Guru",
Analisis Strategi Pengembangan Objek Wisata Bukit Cinta Di Kabupaten Semarang,"pengembangan, objek wisata Bukit Cinta, daya tarik",Kabupaten Semarang
Analisis Keterampilan Siswa Dalam Membaca Melalui Kartu Kata Bergambar Kelas 2 SD Kanisius Baturetno Wonogiri,"Penelitian Tindakan Kelas (PTK), Team Games Tournament (TGT), Kartu Kata Bergambar",SD Kanisius Baturetno Wonogiri
Pengaruh Gerakan Literasi Sekolah Terhadap Minat Baca Pada Siswa Kelas V SD Kanisius Wonogiri,"Gerakan, Literasi, Sekolah, Minat, Baca",SD Kanisius Wonogiri
Pengaruh Fasilitas dan Kualitas Pelayanan Terhadap Kepuasan Pelanggan di Laras Asri Resort and SPA Kota Salatiga,"fasilitas, kualitas pelayanan, kepuasan pelanggan",
Strategi Promosi Pariwisata Melalui Media Sosial Dalam Meningkatkan Pengunjung Pada Objek Wisata Goa Resi Kabupaten Wonogiri,"Pariwisata, Strategi Promosi, Media Sosial.",
Strategi Pengembangan Objek Wisata Benteng Pendem Dalam Meningkatkan Kunjungan Wisatawan Di Kabupaten Cilacap,"Wisata Benteng Pendem, Stratgi Pengembangan, Wisatawan, Kajian Kualitatif.",Kabupaten Cilacap
Kajian Ketoprak Moderasi Beragama Wahyu Dwijo Aji Kemenag Kabupaten Temanggung Sebagai Media Pesan Pembangunan Keumatan,"Ketoprak, Moderasi, Pembangunan",
Modal sosial dalam memperkuat moderasi beragama (studi kerukunan umat buddha di vihara loka dhamma santi temanggung),"Modal Sosial, Moderasi beragama, Kerukunan",vihara loka dhamma santi temanggung
Analisis peran guru pendidikan agama buddha dalam implementasi kurikulum merdeka di SMP 1 Mandiraja,"Kurikulum Merdeka, Implementasi, Peran Guru",SMP 1 Mandiraja
Penguatan Pendidikan Karakter Melalui Pembelajaran Bahasa Indonesia di Sekolah Dasar,"Penguatan Pendidikan Karakter, Pembelajaran Bahasa Indonesia",
Pengaruh Model Pembelajaran Discovery Learning Terhadap Hasil Belajar Siswa Pada Mata Pelajaran IPAS Kelas V SD,"Discovery Learning, Hasil Belajar, IPAS",
Makna Simbolik Sesajen Tradisi Ceblok Dalam Perspektif Umat Buddha Desa Kalimanggis Kecamatan Kaloran Kabupaten Temanggung,"Makna simbolik, Sesaji, Tradisi Ceblok, Perspektif agama Buddha",
Pengaruh Media Sosial Tik Tok dan Instagram Terhadap Gaya Hidup Mahasiswa STAB Negeri Raden Wijaya Wonogiri Jawa Tengah,"Tik Tok, Instagram, Gaya Hidup",STAB Negeri Raden Wijaya Wonogiri
Analisis Kemampuan Guru Dalam Mengimplementasikan Kurikulum Merdeka Di SD Negeri 03 Getas Pada Mata Pelajaran Ilmu Pengetahuan Alam dan Sosial,"Kemampuan, Guru, Implementasi, Kurikulum Merdeka, Mata Pelajaran IPA, SD 03 Getas",SD Negeri 03 Getas
Dampak Media Sosial Tiktok Terhadap Perilaku Sopan Santun Remaja di Desa Kalimanggis,"TikTok, Perilaku Sopan Santun, Remaja",Desa Kalimanggis
